Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Request_URL,URL_of_Anchor,Links_in_tags,SFH,web_traffic,Google_Index
-1,-1,0,-1,-1,-1,-1,0,1
-1,0,-1,1,0,-1,-1,1,1
-1,1,-1,1,0,0,-1,0,-1
-1,0,1,1,0,0,-1,1,-1
-1,1,1,-1,0,-1,1,1,-1
-1,1,1,1,0,-1,0,1,1
-1,0,1,-1,0,0,-1,1,1
-1,0,1,1,-1,-1,-1,0,1
-1,-1,-1,1,1,0,-1,1,-1
-1,1,1,1,0,0,-1,0,1
1,0,-1,1,0,0,1,1,-1
1,1,1,1,0,0,-1,1,1
-1,1,1,1,1,1,-1,-1,1
-1,1,1,1,1,0,1,1,1
-1,1,1,1,0,-1,0,1,1
-1,0,0,1,-1,0,1,1,1
-1,1,1,1,0,0,0,1,1
-1,-1,-1,-1,0,-1,-1,1,1
-1,0,-1,1,0,-1,-1,1,1
-1,-1,-1,1,-1,0,1,-1,-1
-1,0,-1,1,-1,0,1,-1,1
-1,0,1,1,0,0,-1,1,1
-1,1,-1,-1,-1,0,-1,-1,1
1,1,1,1,1,1,-1,1,-1
-1,0,1,1,0,0,0,1,1
-1,1,0,-1,-1,1,-1,-1,-1
-1,1,1,-1,1,0,-1,-1,1
-1,0,1,1,0,1,-1,1,1
-1,1,1,1,1,-1,1,1,1
-1,0,-1,1,0,0,-1,1,1
-1,0,0,1,-1,-1,-1,0,1
-1,-1,-1,1,-1,0,-1,1,1
-1,0,1,1,0,-1,-1,1,1
-1,-1,1,1,1,0,-1,-1,1
-1,1,1,1,1,0,0,0,1
-1,1,1,-1,0,0,1,0,1
1,1,1,1,1,-1,-1,-1,1
-1,-1,-1,1,0,0,-1,1,1
-1,1,1,-1,0,1,1,-1,1
-1,1,-1,1,0,1,-1,0,1
-1,0,1,1,0,-1,-1,-1,-1
-1,1,1,-1,1,1,-1,1,1
-1,-1,1,-1,0,-1,-1,0,-1
1,0,-1,1,1,1,1,1,-1
1,1,1,1,1,0,-1,1,1
-1,0,1,-1,1,1,-1,1,1
-1,1,1,1,1,1,-1,1,1
-1,0,1,-1,0,0,1,0,1
-1,-1,1,1,0,1,1,1,1
-1,1,1,1,1,0,-1,1,1
-1,1,1,1,0,1,0,1,1
1,1,1,1,0,1,-1,1,1
-1,-1,1,1,0,0,-1,-1,1
-1,1,1,-1,0,0,-1,1,1
1,-1,1,1,0,0,1,1,1
-1,-1,-1,1,0,-1,-1,-1,1
1,1,1,-1,1,1,-1,1,1
-1,-1,-1,1,-1,-1,-1,-1,1
-1,0,0,1,-1,-1,-1,1,1
-1,0,1,1,-1,-1,-1,0,1
